ID=15-2_high_power_twochi=15-1MHz_alpha=-0-21896_kappa=1-3MHz_nc=0-03_nt=0_eps0=2-41MHz
job_index,eps,fd,qubit_state,t_levels,c_levels,fc,Ej,g,Ec,kappa,gamma,gamma_phi,n_t,n_c,end_time,snapshots,group_folder
0,0.0034094418714559417,10.46798,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
1,0.0034094418714559417,10.46898,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
2,0.0034094418714559417,10.46998,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
3,0.0034094418714559417,10.47098,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
4,0.0034094418714559417,10.47198,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
5,0.0034094418714559417,10.4722,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
6,0.0034094418714559417,10.47234,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
7,0.0034094418714559417,10.4724,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
8,0.0034094418714559417,10.4726,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
9,0.0034094418714559417,10.4728,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
10,0.0034094418714559417,10.47298,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
11,0.0034094418714559417,10.473,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
12,0.0034094418714559417,10.4732,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
13,0.0034094418714559417,10.47334,1,7,35,10.422533323070002,46.65074766102879,0.29519999393235674,0.2207472863360426,0.0013,3.65e-05,0.0,0.0,0.03,30000.0,2001,-17dBm
