gamma_phi=0_002MHz
job_index,eps,fd,qubit_state,t_levels,c_levels,fc,Ej,g,Ec,kappa,gamma,gamma_phi,n_t,n_c,end_time,snapshots,group_folder
0,0.0039291200000000004,10.48,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
1,0.0039291200000000004,10.480499999999999,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
2,0.0039291200000000004,10.481,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
3,0.0039291200000000004,10.4815,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
4,0.0039291200000000004,10.481999999999999,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
5,0.0039291200000000004,10.4825,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
6,0.0039291200000000004,10.483000000000001,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
7,0.0039291200000000004,10.483499999999999,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
8,0.0039291200000000004,10.484,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
9,0.0039291200000000004,10.484500000000001,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
10,0.0039291200000000004,10.484999999999999,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
11,0.0039291200000000004,10.4855,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
12,0.0039291200000000004,10.486000000000001,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
13,0.0039291200000000004,10.486499999999999,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
14,0.0039291200000000004,10.487,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
15,0.0039291200000000004,10.487500000000001,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
16,0.0039291200000000004,10.488,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
17,0.0039291200000000004,10.4885,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
18,0.0039291200000000004,10.489000000000001,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
19,0.0039291200000000004,10.4895,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
20,0.0039291200000000004,10.49,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
21,0.0039291200000000004,10.490500000000001,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
22,0.0039291200000000004,10.491,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
23,0.0039291200000000004,10.4915,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
24,0.0039291200000000004,10.492000000000001,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
25,0.0039291200000000004,10.4925,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
26,0.0039291200000000004,10.493,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
27,0.0039291200000000004,10.494,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
28,0.0039291200000000004,10.494999999999999,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
29,0.0039291200000000004,10.496,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
30,0.0039291200000000004,10.497,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
31,0.0039291200000000004,10.497999999999999,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
32,0.0039291200000000004,10.499000000000001,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
33,0.0039291200000000004,10.5,1,9,30,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-21dBm
34,0.0044085499999999998,10.48,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
35,0.0044085499999999998,10.480499999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
36,0.0044085499999999998,10.481,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
37,0.0044085499999999998,10.4815,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
38,0.0044085499999999998,10.481999999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
39,0.0044085499999999998,10.4825,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
40,0.0044085499999999998,10.483000000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
41,0.0044085499999999998,10.483499999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
42,0.0044085499999999998,10.484,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
43,0.0044085499999999998,10.484500000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
44,0.0044085499999999998,10.484999999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
45,0.0044085499999999998,10.4855,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
46,0.0044085499999999998,10.486000000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
47,0.0044085499999999998,10.486499999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
