hilbert
job_index,eps,fd,qubit_state,t_levels,c_levels,fc,Ej,g,Ec,kappa,gamma,gamma_phi,n_t,n_c,end_time,snapshots,group_folder
0,0.0080000000000000002,10.48,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
1,0.0080000000000000002,10.480499999999999,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
2,0.0080000000000000002,10.481,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
3,0.0080000000000000002,10.4815,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
4,0.0080000000000000002,10.481999999999999,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
5,0.0080000000000000002,10.4825,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
6,0.0080000000000000002,10.483000000000001,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
7,0.0080000000000000002,10.483499999999999,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
8,0.0080000000000000002,10.484,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
9,0.0080000000000000002,10.484500000000001,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
10,0.0080000000000000002,10.484999999999999,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
11,0.0080000000000000002,10.4855,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
12,0.0080000000000000002,10.486000000000001,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
13,0.0080000000000000002,10.486499999999999,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
14,0.0080000000000000002,10.487,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
15,0.0080000000000000002,10.487500000000001,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
16,0.0080000000000000002,10.488,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
17,0.0080000000000000002,10.4885,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
18,0.0080000000000000002,10.489000000000001,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
19,0.0080000000000000002,10.4895,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
20,0.0080000000000000002,10.49,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
21,0.0080000000000000002,10.490500000000001,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
22,0.0080000000000000002,10.491,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
23,0.0080000000000000002,10.4915,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
24,0.0080000000000000002,10.492000000000001,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
25,0.0080000000000000002,10.4925,1,11,50,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x50
26,0.0080000000000000002,10.48,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
27,0.0080000000000000002,10.480499999999999,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
28,0.0080000000000000002,10.481,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
29,0.0080000000000000002,10.4815,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
30,0.0080000000000000002,10.481999999999999,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
31,0.0080000000000000002,10.4825,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
32,0.0080000000000000002,10.483000000000001,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
33,0.0080000000000000002,10.483499999999999,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
34,0.0080000000000000002,10.484,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
35,0.0080000000000000002,10.484500000000001,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
36,0.0080000000000000002,10.484999999999999,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
37,0.0080000000000000002,10.4855,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
38,0.0080000000000000002,10.486000000000001,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
39,0.0080000000000000002,10.486499999999999,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
40,0.0080000000000000002,10.487,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
41,0.0080000000000000002,10.487500000000001,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
42,0.0080000000000000002,10.488,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
43,0.0080000000000000002,10.4885,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
44,0.0080000000000000002,10.489000000000001,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
45,0.0080000000000000002,10.4895,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
46,0.0080000000000000002,10.49,1,11,55,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,0.0,0.0,0.036999999999999998,30000.0,2001,8-0MHz_11x55
